id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,apr,int_rate,installment,grade,sub_grade,emp_name,emp_length,home_ownership,annual_inc,is_inc_v,accept_d,exp_d,list_d,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,addr_city,addr_state,acc_now_delinq,acc_open_past_24mths,bc_open_to_buy,percent_bc_gt_75,bc_util,dti,delinq_2yrs,delinq_amnt,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,mths_since_recent_inq,mths_since_recent_loan_delinq,mths_since_recent_revol_delinq,mths_since_recent_bc,mort_acc,open_acc,pub_rec_gt_100,pub_rec,total_bal_ex_mort,revol_bal,revol_util,total_bc_limit,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,total_il_high_credit_limit,mths_since_oldest_il_open,num_rev_accts,mths_since_recent_bc_dlq,pub_rec_bankruptcies,num_accts_ever_120_pd,chargeoff_within_12_mths,collections_12_mths_ex_med,tax_liens,mths_since_last_major_derog,num_sats,num_tl_op_past_12m,mo_sin_rcnt_tl,tot_hi_cred_lim,tot_cur_bal,avg_cur_bal,num_bc_tl,num_actv_bc_tl,num_bc_sats,pct_tl_nvr_dlq,num_tl_90g_dpd_24m,num_tl_30dpd,num_tl_120dpd_2m,num_il_tl,mo_sin_old_il_acct,num_actv_rev_tl,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,total_rev_hi_lim,num_rev_tl_bal_gt_0,num_op_rev_tl,tot_coll_amt
"3376234","4228659","14825.0","14825.0","14825.0"," 36 months","16.99%"," 14.09%","507.34","B","B5","SMT,LLC","10+ years","MORTGAGE","50000","FALSE","2013-02-09","2013-02-23","2013-02-09","2013-02-14","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=3376234","  Borrower added on 02/10/13 > Pay off credit card debt.<br>","debt_consolidation","CONSOLIDATION LOAN","RED LION","PA","0","4","5905","60","36.5","22.18","0","0","1995-01-15 12:40","690","694","1","77","","6","77","","1","4","9","0","0","12413","7252.0","46.2%","9300","22","f","13469.54","13469.54","2027.44","2027.44","1355.46","671.98","0.0","2013-06-20","507.34","2013-08-14","2013-06-25","649","645","26865","153","14","","0","0","0","0","0","","9","2","1","42565","12413","1379","10","4","5","90","0","0","0","4","153","7","220","1","15700","7","8","0"
"3377830","4230518","16000.0","16000.0","16000.0"," 60 months","25.01%"," 22.47%","446.19","E","E5","RR Donnelley","7 years","MORTGAGE","39000","TRUE","2013-02-11","2013-02-25","2013-02-11","2013-02-20","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=3377830","  Borrower added on 02/11/13 > We are a typical family who just settled into their first home, trying to consolidate all of our credit cards and send them to the shredder, to assist us with a strict budget.  1 payment would be huge relief from the several that trickle in over the month.  We appreciate your support!<br>","debt_consolidation","Family Fresh Start","Munfordville","KY","0","2","49","100","98.4","17.29","0","0","1997-05-06 06:45","670","674","0","77","","8","","","80","1","9","0","0","25743","12268.0","88.9%","3100","23","f","15398.02","15398.02","1781.64","1781.64","601.98","1179.66","0.0","2013-06-26","446.19","2013-07-20","2013-06-25","714","710","18633","138","11","","0","0","0","0","0","","9","1","6","127433","120512","13390","5","2","2","69","0","0","0","11","160","7","192","24","13800","7","7","0"
"3378581","4231340","20000.0","20000.0","19900.0"," 60 months","19.68%"," 17.27%","499.96","C","C5","General Electric","2 years","MORTGAGE","89000","TRUE","2013-02-22","2013-03-08","2013-02-22","2013-03-04","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=3378581","","debt_consolidation","Credit Card Consolidation","HOUSTON","TX","0","9","6524","50","77.5","14.27","0","0","2002-10-18 10:42","665","669","2","77","","6","","77","5","1","12","0","0","30424","22476.0","74.9%","29000","22","f","19135.69","19040.01","1993.64","1983.68","864.31","1129.33","0.0","2013-07-10","499.96","2013-08-04","2013-06-25","699","695","24440","126","11","77","0","1","0","0","0","77","12","6","5","119240","82293","6858","10","6","8","93","0","0","0","10","126","6","103","5","30000","6","9","790"
"3380927","4233929","10000.0","10000.0","10000.0"," 36 months","19.49%"," 15.80%","350.59","C","C3","Utah food bank","9 years","RENT","29000","FALSE","2013-02-22","2013-03-08","2013-02-22","2013-03-04","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=3380927","","credit_card","credit consolidation","SALT LAKE CITY","UT","0","3","6892","60","59.9","13.37","0","0","2003-12-10 07:07","665","669","0","","","12","","","9","0","6","0","0","11208","11208.0","61.9%","17200","11","f","9108.69","9108.69","1399.48","1399.48","891.31","508.17","0.0","2013-07-10","350.59","2013-08-04","2013-06-25","719","715","0","","7","","0","0","0","0","0","","6","2","1","18100","11208","1868","6","5","5","100","0","0","0","3","108","6","81","1","18100","6","6","0"
"3383549","4306812","35000.0","35000.0","35000.0"," 36 months","18.99%"," 15.31%","1218.61","C","C2","","5 years","MORTGAGE","208000","FALSE","2013-02-15","2013-03-01","2013-02-15","2013-03-08","In Grace Period","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=3383549","","debt_consolidation","Debt Consolidation and Home Repair","FORT MYERS","FL","0","3","1761","66.7","92.8","6.44","0","0","1991-11-08 11:25","670","674","0","24","","12","25","24","4","1","8","0","0","117147","22639.0","92.4%","24400","18","f","32654.47","32654.47","3655.29","3655.29","2345.54","1309.75","0.0","2013-06-13","1218.61","2013-08-08","2013-06-25","654","650","95510","111","11","25","0","0","0","0","0","","8","3","4","379243","356117","50874","7","3","4","62","0","0","0","5","185","3","259","4","24500","3","5","0"
"3383716","4306995","17050.0","17050.0","17050.0"," 60 months","18.67%"," 16.29%","417.26","C","C4","gurtz electric","7 years","MORTGAGE","84000","TRUE","2013-02-15","2013-03-01","2013-02-15","2013-03-01","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=3383716","  Borrower added on 02/17/13 > This loan is going to be used to consolidate all debt incurred from home remodel and medical bills<br>","debt_consolidation","loan","CHICAGO","IL","0","6","6934","75","75.3","8.89","0","0","2000-10-21 03:21","665","669","1","","","3","","","3","1","13","0","0","35244","28133.0","53.1%","28037","31","f","16292.25","16292.25","1667.4","1667.40","757.75","909.65","0.0","2013-07-08","417.26","2013-08-01","2013-06-25","779","775","10030","109","20","","0","0","0","0","0","","13","4","3","186206","152979","12748","12","4","4","100","0","0","0","10","150","8","127","3","52937","8","9","0"
"3414966","4297117","6700.0","6700.0","6625.0"," 36 months","21.50%"," 17.77%","241.45","D","D1","Maggie's Custom Embroidery","4 years","MORTGAGE","22700","FALSE","2013-03-11","2013-03-25","2013-03-11","2013-03-18","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=3414966","  Borrower added on 03/11/13 > I am going to pay off my credit cards and other bills.<br>","credit_card","Personal Loan","WATSONTOWN","PA","0","7","4181","80","69","15.59","0","0","2001-06-16 04:59","660","664","3","","","1","","","13","0","8","0","0","10818","10818.0","53.3%","13500","11","f","6267.31","6197.15","723.75","715.65","432.69","291.06","0.0","2013-06-24","241.45","2013-07-18","2013-06-25","649","645","0","124","10","","0","0","0","0","0","","8","2","4","20300","10818","1352","6","5","5","100","0","0","0","1","124","8","142","4","20300","8","8","0"
"3434746","4336897","28000.0","28000.0","28000.0"," 36 months","19.49%"," 15.80%","981.64","C","C3","D Conrad Harper MD LLC","3 years","MORTGAGE","85000","TRUE","2013-02-21","2013-03-07","2013-02-21","2013-03-04","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=3434746","","credit_card","Credit card refinancing","DOUGLAS","GA","0","4","730","100","96.8","16.19","0","0","2002-06-17 03:56","680","684","2","","","4","","","67","4","9","0","0","29905","26558.0","89.7%","22700","20","f","25502.52","25502.52","3921.44","3921.44","2497.48","1423.96","0.0","2013-07-10","981.64","2013-08-04","2013-06-25","714","710","6415","130","7","","0","0","0","0","0","","9","2","4","266370","250872","27875","4","4","4","100","0","0","0","9","130","7","109","4","29600","7","7","0"
"3445051","4308560","17500.0","17500.0","17500.0"," 60 months","25.01%"," 22.47%","488.02","E","E5","Rockford Quality Grinding","4 years","MORTGAGE","40000","TRUE","2013-03-14","2013-03-28","2013-03-14","2013-03-19","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=3445051","  Borrower added on 03/15/13 > My loan is to pay off as many credit cards as i can. I want to be debt free.<br>","debt_consolidation","Debt Consolidation","Dakota ","IL","0","4","0","100","101.7","23.34","0","0","2001-02-21 07:06","680","684","1","","","3","","","75","5","9","0","0","18456","13049.0","80.1%","5000","27","f","17012.08","17012.08","1457.67","1457.67","487.92","969.75","0.0","2013-06-25","488.02","2013-07-19","2013-06-25","709","705","11301","146","12","","0","0","0","0","0","","9","2","6","100281","90686","10076","6","2","2","100","0","0","0","10","146","6","109","14","16300","6","7","0"
"3454596","4318086","16000.0","16000.0","15975.0"," 60 months","24.00%"," 21.49%","437.28","E","E3","Old Colony Y","9 years","MORTGAGE","45000","TRUE","2013-02-18","2013-03-04","2013-02-18","2013-02-25","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=3454596","","debt_consolidation","Debt consolidation","MIDDLEBORO","MA","0","2","0","100","100.9","5.65","0","0","2000-02-27 05:55","670","674","1","","","5","","","3","1","5","0","0","10087","10087.0","88.5%","8700","19","f","15381.71","15357.68","1746.040000000002","1743.32","618.29","1127.75","0.0","2013-07-01","437.28","2013-07-25","2013-06-25","699","695","0","","12","","0","0","0","0","0","","5","2","3","165400","163404","32681","8","2","2","100","0","0","0","6","113","4","158","3","11400","4","4","0"
